,id,text
248726,1256834643246055425,"I tecnici al sindaco di Cagliari: sette punti per il rilancio della Città nel Post Covid. La lettera di #Architetti, #Ingegneri, #Geometri e #PeritiIndustriali http://ow.ly/JjVY50zuOCs"
248727,1256834782954209280,"È questione di principio. Perché non fare un po' di yoga in cortile piuttosto, visto che tanto non hai mai fatto sport in vita tua? O comprati un Tapirulan. Ed è difficile sapere per certo sei solo in citta (questo abita a Londra, in campagna non c'è dubbio e si sta bene ovvio)"
248728,1256834799601401856,In riproduzione su Radio Campania: È Guaglione E Sta Citta di Gianni Fiorellino! Sintonizzati ora. 
248729,1256835010079920128,"Ho saputo che... Il popolo a Roma, Villafranca e altre città il primo maggio si è già fatto sentire sfilando nelle strade manifestazione pacifica I Tg e presumo anche quotidiani silenzio. Le forze dell'ordine controllavano i documenti e cancellavano i video smartphone."
248730,1256835258001035266,La nuova speranza parte dalla città che ha pagato il prezzo più alto al #COVID__19
248731,1256835319879610370,La città vive in me come un poema che non m’è riuscito di fissare in parole. Io provo il logorarsi dello specchio che non si placa in una sola immagine. J. L. Borges #VersiInUnTweet a #CasaLettori #FotografandoUnaCitta @CasaLettori
248732,1256835391291711488,"#iorestoacasa: foto incredibili di vie, spiagge e città deserte da tutto il mondo! http://dlvr.it/RVvrDB"
248733,1256835894650298368,"Unica, affascinante, moderna: #Barcellona è una città dalle mille sfaccettature che vi lascerà con la bocca aperta. Un luogo perfetto nel quale trascorrere una vacanza culturale e di relax, grazie al mare meraviglioso e ai tanti luoghi di interesse. "
248734,1256835967450845186,Parliamo di Milano città Dell amianto e Dell inquinamento... Lei cara signora lo sa che proprio in questi luoghi si è formato un incremento maggiore di positività al covid-19?
248735,1256836077945569283,"Vero, ma si potrebbe lasciare scegliere agli italiani chi sono le 5 persone che vogliono vedere nella città in cui risiedono, credo che i numeri sarebbero paragonabili, con un po’ di felicità in più.."
